"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A880","2019-07-15 00:00:00","6.000","0.000","0.000","25.300","0.920","1003.200","-99.000","0.000","-99.000","-99.000","-99.000","35.100","","24.400",""
"C0S950","2019-07-15 00:00:00","415.000","226.000","0.300","26.000","0.860","959.900","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","24.200",""
"C0X190","2019-07-15 00:00:00","10.000","221.000","1.300","29.500","0.870","1004.800","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","27.800",""
"C0A640","2019-07-15 00:00:00","241.000","0.000","0.000","23.500","0.970","981.500","-99.000","16.500","-99.000","-99.000","-99.000","32.800","","23.500",""
"C0I420","2019-07-15 00:00:00","305.000","0.000","0.200","25.800","0.930","972.600","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","22.800",""
"C0R170","2019-07-15 00:00:00","26.000","78.000","0.500","27.300","1.000","1003.700","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","25.200",""
"C0M530","2019-07-15 00:00:00","1385.000","84.000","0.400","18.300","0.920","865.500","-99.000","0.500","-99.000","-99.000","-99.000","25.000","","16.600",""
"C0C630","2019-07-15 00:00:00","209.000","224.000","1.200","27.300","0.860","982.900","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","25.300",""
"C0D550","2019-07-15 00:00:00","1956.000","0.000","0.000","17.100","0.920","809.500","-99.000","0.000","-99.000","-99.000","-99.000","25.500","","16.600",""
"C0T9E0","2019-07-15 00:00:00","415.000","0.000","0.000","25.000","0.920","961.900","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","23.900",""
"C0U960","2019-07-15 00:00:00","1885.000","0.000","0.000","15.400","0.950","812.000","-99.000","1.000","-99.000","-99.000","-99.000","25.000","","13.700",""
